,starts,ends
80,1611.8432026688906,1612.9274395329442
81,1613.9699749791494,1614.6371976647206
82,1621.3094245204336,1621.8515429524602
83,1667.7231025854878,1668.8073394495414
84,1670.0166805671392,1670.7256046705588
85,1683.5696413678065,1684.9874895746455
86,1702.2935779816514,1703.6697247706422
87,1706.04670558799,1706.880733944954
88,1712.0517097581317,1712.7606338615512
89,1723.1025854879065,1724.395329441201
90,1727.2310258548791,1727.9399499582985
91,1730.5254378648874,1731.067556296914
92,1732.1934945788157,1734.2368640533778
93,1741.0758965804837,1742.32693911593
94,1745.6630525437865,1747.4562135112594
95,1750.6255212677231,1752.043369474562
96,1754.0867389491243,1755.3377814845705
97,1756.3803169307755,1757.8815679733111
98,1760.6755629691409,1761.467889908257
99,1763.4695579649708,1764.6788990825687
100,1767.0141784820682,1767.3894912427022
101,1769.6413678065053,1770.1417848206838
102,1771.3094245204336,1771.976647206005
103,1799.833194328607,1800.5838198498748
104,1809.466221851543,1810.1751459549625
105,1825.0625521267723,1825.7714762301919
106,1843.2026688907422,1843.7447873227688
107,1844.787322768974,1846.0383653044203
108,1852.001668056714,1855.3794829024187
109,1861.0508757297748,1862.510425354462
110,1890.9090909090908,1891.6180150125103
111,1941.4095079232693,1942.160133444537
112,1944.6205170975813,1945.4545454545455
113,1952.1267723102585,1953.0025020850708
114,1956.880733944954,1957.5062552126772
115,2009.7581317764805,2010.4253544620517
116,2019.2243536280232,2020.0583819849874
117,2045.788156797331,2046.2051709758132
118,2141.6180150125106,2142.368640533778
119,2155.421184320267,2156.1718098415345
120,2181.651376146789,2184.6121768140115
121,2188.323603002502,2190.325271059216
122,2205.838198498749,2206.04670558799
123,2230.984153461218,2231.6096747289407
124,2233.527939949958,2233.7781484570473
125,2236.73894912427,2237.2393661384485
126,2238.1567973311094,2238.698915763136
127,2245.412844036697,2246.0383653044205
128,2254.6288573811507,2255.7964970809007
129,2271.809841534612,2272.5187656380317
130,2274.812343619683,2275.187656380317
131,2276.9391159299416,2277.43953294412
132,2305.1292743953295,2305.3377814845703
133,2316.6805671392826,2317.389491242702
134,2334.111759799833,2335.487906588824
135,2343.6613844870726,2344.7039199332776
136,2352.5854879065887,2352.9190992493745
137,2355.5879899916595,2357.3394495412845
138,2359.7581317764802,2360.4253544620515
139,2380.6922435362803,2382.026688907423
140,2382.8190158465386,2383.3194328607174
141,2418.6405337781484,2419.015846538782
142,2501.876563803169,2502.3352793994995
143,2503.7948290241866,2504.045037531276
144,2514.3869891576314,2514.6371976647206
145,2701.0842368640533,2701.9182652210175
146,2723.769808173478,2724.0617180984154
147,2746.371976647206,2747.4145120934113
148,2751.042535446205,2751.793160967473
149,2755.254378648874,2755.671392827356
150,2759.341117597998,2760.3419516263552
151,2769.599666388657,2770.6005004170142
152,2791.534612176814,2792.4103419516264
153,2799.3744787322767,2800.625521267723
154,2803.5029190992495,2806.0050041701415
155,2807.714762301918,2810.4253544620515
156,2812.0100083402835,2813.594662218515
157,2815.0542118432027,2817.8482068390326
158,2819.2660550458713,2821.726438698916
159,2824.6872393661383,2825.187656380317
160,2828.7322768974145,2830.2752293577983
161,2831.5262718932445,2834.3619683069223
162,2835.8632193494577,2836.905754795663
163,2846.0383653044205,2847.122602168474
164,2856.547122602168,2857.130942452043
165,2868.7239366138447,2869.76647206005
166,2872.852376980817,2873.769808173478
167,2892.118432026689,2892.535446205171
168,2943.119266055046,2943.536280233528
169,2951.9182652210175,2952.293577981651
170,2955.421184320267,2955.9216013344453
171,2959.090909090909,2959.6330275229357
172,2962.927439532944,2963.344453711426
173,2966.5137614678897,2966.8473728106756
174,2970.0583819849876,2970.4753961634697
175,2973.519599666389,2973.9783152627188
